outbound_departure_airport;outbound_arrival_airport;outbound_departure_time;outbound_arrival_time;inbound_departure_airport;inbound_arrival_airport;inbound_departure_time;inbound_arrival_time;total_price
NBO;MBA;Thu Jan 27 06:00:00 GMT 2022;Thu Jan 27 07:10:00 GMT 2022;MBA;NBO;Thu Feb 03 07:30:00 GMT 2022;Thu Feb 03 08:40:00 GMT 2022;84.00
NBO;MBA;Thu Jan 27 06:00:00 GMT 2022;Thu Jan 27 07:10:00 GMT 2022;MBA;NBO;Thu Feb 03 12:30:00 GMT 2022;Thu Feb 03 01:40:00 GMT 2022;96.00
NBO;MBA;Thu Jan 27 06:00:00 GMT 2022;Thu Jan 27 07:10:00 GMT 2022;MBA;NBO;Thu Feb 03 08:20:00 GMT 2022;Thu Feb 03 09:30:00 GMT 2022;84.00
NBO;MBA;Thu Jan 27 06:40:00 GMT 2022;Thu Jan 27 07:50:00 GMT 2022;MBA;NBO;Thu Feb 03 07:30:00 GMT 2022;Thu Feb 03 08:40:00 GMT 2022;87.00
NBO;MBA;Thu Jan 27 06:40:00 GMT 2022;Thu Jan 27 07:50:00 GMT 2022;MBA;NBO;Thu Feb 03 12:30:00 GMT 2022;Thu Feb 03 01:40:00 GMT 2022;99.00
NBO;MBA;Thu Jan 27 06:40:00 GMT 2022;Thu Jan 27 07:50:00 GMT 2022;MBA;NBO;Thu Feb 03 08:20:00 GMT 2022;Thu Feb 03 09:30:00 GMT 2022;87.00
NBO;MBA;Sun Feb 06 08:00:00 GMT 2022;Sun Feb 06 09:10:00 GMT 2022;MBA;NBO;Sun Feb 13 12:00:00 GMT 2022;Sun Feb 13 01:10:00 GMT 2022;93.00
NBO;MBA;Sun Feb 06 08:00:00 GMT 2022;Sun Feb 06 09:10:00 GMT 2022;MBA;NBO;Sun Feb 13 08:20:00 GMT 2022;Sun Feb 13 09:30:00 GMT 2022;87.00
NBO;MBA;Sun Feb 06 10:30:00 GMT 2022;Sun Feb 06 11:40:00 GMT 2022;MBA;NBO;Sun Feb 13 12:00:00 GMT 2022;Sun Feb 13 01:10:00 GMT 2022;105.00
NBO;MBA;Sun Feb 06 10:30:00 GMT 2022;Sun Feb 06 11:40:00 GMT 2022;MBA;NBO;Sun Feb 13 08:20:00 GMT 2022;Sun Feb 13 09:30:00 GMT 2022;99.00
NBO;MBA;Sun Feb 06 06:40:00 GMT 2022;Sun Feb 06 07:50:00 GMT 2022;MBA;NBO;Sun Feb 13 12:00:00 GMT 2022;Sun Feb 13 01:10:00 GMT 2022;96.00
NBO;MBA;Sun Feb 06 06:40:00 GMT 2022;Sun Feb 06 07:50:00 GMT 2022;MBA;NBO;Sun Feb 13 08:20:00 GMT 2022;Sun Feb 13 09:30:00 GMT 2022;90.00
